<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Белон ао;W;19/11/18;000000;2,73;318200
Белон ао;W;26/11/18;000000;2,735;239700
Белон ао;W;03/12/18;000000;2,735;430700
Белон ао;W;10/12/18;000000;2,745;159000
Белон ао;W;17/12/18;000000;2,72;310200
Белон ао;W;24/12/18;000000;2,73;246300
Белон ао;W;31/12/18;000000;2,735;17200
Белон ао;W;07/01/19;000000;2,79;217300
Белон ао;W;14/01/19;000000;2,92;1461800
Белон ао;W;21/01/19;000000;3;272400
Белон ао;W;28/01/19;000000;2,945;923700
Белон ао;W;04/02/19;000000;2,895;110100
Белон ао;W;11/02/19;000000;2,97;705300
Белон ао;W;18/02/19;000000;2,955;152100
Белон ао;W;25/02/19;000000;2,975;212000
Белон ао;W;04/03/19;000000;3,07;752000
Белон ао;W;11/03/19;000000;3,25;3718800
Белон ао;W;18/03/19;000000;3,46;1977700
Белон ао;W;25/03/19;000000;3,425;1466000
Белон ао;W;01/04/19;000000;3,495;960200
Белон ао;W;08/04/19;000000;3,56;816000
Белон ао;W;15/04/19;000000;3,985;1755200
Белон ао;W;22/04/19;000000;3,76;4969400
Белон ао;W;29/04/19;000000;4,074;1776700
Белон ао;W;06/05/19;000000;3,818;668400
Белон ао;W;13/05/19;000000;3,662;366100
Белон ао;W;20/05/19;000000;3,688;920900
Белон ао;W;27/05/19;000000;3,802;236500
Белон ао;W;03/06/19;000000;3,868;634600
Белон ао;W;10/06/19;000000;4;357300
Белон ао;W;17/06/19;000000;3,966;944500
Белон ао;W;24/06/19;000000;4,024;440500
Белон ао;W;01/07/19;000000;3,994;341200
Белон ао;W;08/07/19;000000;3,978;405700
Белон ао;W;15/07/19;000000;4,062;644100
Белон ао;W;22/07/19;000000;3,992;422400
Белон ао;W;29/07/19;000000;4,032;312700
Белон ао;W;05/08/19;000000;4,028;143300
Белон ао;W;12/08/19;000000;3,984;641000
Белон ао;W;19/08/19;000000;3,97;170700
Белон ао;W;26/08/19;000000;3,972;381400
Белон ао;W;02/09/19;000000;3,986;211100
Белон ао;W;09/09/19;000000;3,932;322800
Белон ао;W;16/09/19;000000;3,93;425800
Белон ао;W;23/09/19;000000;3,768;172400
Белон ао;W;30/09/19;000000;3,502;181900
Белон ао;W;07/10/19;000000;3,81;544300
Белон ао;W;14/10/19;000000;3,952;553500
Белон ао;W;21/10/19;000000;3,882;405900
Белон ао;W;28/10/19;000000;3,99;477700
Белон ао;W;04/11/19;000000;3,888;280100
Белон ао;W;11/11/19;000000;3,932;470600
Белон ао;W;18/11/19;000000;4,03;579500
Белон ао;W;25/11/19;000000;3,99;1104300
Белон ао;W;02/12/19;000000;4,02;806200
Белон ао;W;09/12/19;000000;3,998;935900
Белон ао;W;16/12/19;000000;4,004;1068900
Белон ао;W;23/12/19;000000;3,998;714400
Белон ао;W;30/12/19;000000;3,988;128800
Белон ао;W;06/01/20;000000;4,158;426800
Белон ао;W;13/01/20;000000;4,178;185800
Белон ао;W;20/01/20;000000;4,052;478800
Белон ао;W;27/01/20;000000;3,92;368800
Белон ао;W;03/02/20;000000;4,758;28496400
Белон ао;W;10/02/20;000000;4,702;1581300
Белон ао;W;17/02/20;000000;4,508;1139900
Белон ао;W;24/02/20;000000;3,874;975400
Белон ао;W;02/03/20;000000;4,13;2889200
Белон ао;W;09/03/20;000000;3,684;1058800
Белон ао;W;16/03/20;000000;4,004;1570500
Белон ао;W;23/03/20;000000;3,7;544900
СОЛЛЕРС;W;11/01/10;000000;442,5;187171
СОЛЛЕРС;W;18/01/10;000000;432,49;135005
СОЛЛЕРС;W;25/01/10;000000;420;102091
СОЛЛЕРС;W;01/02/10;000000;409,89;77549
СОЛЛЕРС;W;08/02/10;000000;462,98;817505
СОЛЛЕРС;W;15/02/10;000000;520,9;741845
СОЛЛЕРС;W;22/02/10;000000;526;205911
СОЛЛЕРС;W;01/03/10;000000;569;441922
СОЛЛЕРС;W;08/03/10;000000;548;155859
СОЛЛЕРС;W;15/03/10;000000;545;136965
СОЛЛЕРС;W;22/03/10;000000;533,94;79027
СОЛЛЕРС;W;29/03/10;000000;551,12;145524
СОЛЛЕРС;W;05/04/10;000000;563;327924
СОЛЛЕРС;W;12/04/10;000000;581;311579
СОЛЛЕРС;W;19/04/10;000000;568,97;227256
СОЛЛЕРС;W;26/04/10;000000;523,3;171710
СОЛЛЕРС;W;03/05/10;000000;415;295058
СОЛЛЕРС;W;10/05/10;000000;510,01;279672
СОЛЛЕРС;W;17/05/10;000000;477;183396
СОЛЛЕРС;W;24/05/10;000000;487,69;207701
СОЛЛЕРС;W;31/05/10;000000;493,84;93233
СОЛЛЕРС;W;07/06/10;000000;437,95;177625
СОЛЛЕРС;W;14/06/10;000000;440;147588
СОЛЛЕРС;W;21/06/10;000000;441,1;90188
СОЛЛЕРС;W;28/06/10;000000;410;99235
СОЛЛЕРС;W;05/07/10;000000;439;80025
СОЛЛЕРС;W;12/07/10;000000;427;70913
СОЛЛЕРС;W;19/07/10;000000;446,98;84052
СОЛЛЕРС;W;26/07/10;000000;450;94140
СОЛЛЕРС;W;02/08/10;000000;514,89;157822
СОЛЛЕРС;W;09/08/10;000000;464,01;156338
СОЛЛЕРС;W;16/08/10;000000;462,48;113804
СОЛЛЕРС;W;23/08/10;000000;467,98;86573
СОЛЛЕРС;W;30/08/10;000000;508,29;278018
СОЛЛЕРС;W;06/09/10;000000;515,46;88762
СОЛЛЕРС;W;13/09/10;000000;504,87;84110
СОЛЛЕРС;W;20/09/10;000000;499,99;132745
СОЛЛЕРС;W;27/09/10;000000;485,91;87991
СОЛЛЕРС;W;04/10/10;000000;479;130042
СОЛЛЕРС;W;11/10/10;000000;500,85;165555
СОЛЛЕРС;W;18/10/10;000000;503;182611
СОЛЛЕРС;W;25/10/10;000000;528,07;177500
СОЛЛЕРС;W;01/11/10;000000;532;48640
СОЛЛЕРС;W;08/11/10;000000;518,48;151651
СОЛЛЕРС;W;15/11/10;000000;522,78;59964
СОЛЛЕРС;W;22/11/10;000000;519,8;50267
СОЛЛЕРС;W;29/11/10;000000;571,51;250093
СОЛЛЕРС;W;06/12/10;000000;593,01;273358
СОЛЛЕРС;W;13/12/10;000000;626,3;220290
СОЛЛЕРС;W;20/12/10;000000;639,99;253588
СОЛЛЕРС;W;27/12/10;000000;646,99;178072
СОЛЛЕРС;W;10/01/11;000000;713,87;256049
СОЛЛЕРС;W;17/01/11;000000;714;244529
СОЛЛЕРС;W;24/01/11;000000;684,97;107846
СОЛЛЕРС;W;31/01/11;000000;615;216044
СОЛЛЕРС;W;07/02/11;000000;639,4;164140
СОЛЛЕРС;W;14/02/11;000000;648,8;346519
СОЛЛЕРС;W;21/02/11;000000;614;183229
СОЛЛЕРС;W;28/02/11;000000;627,8;194477
СОЛЛЕРС;W;07/03/11;000000;610,5;81110
СОЛЛЕРС;W;14/03/11;000000;587;162810
СОЛЛЕРС;W;21/03/11;000000;581,3;88200
СОЛЛЕРС;W;28/03/11;000000;624,8;263710
СОЛЛЕРС;W;04/04/11;000000;618,9;206470
СОЛЛЕРС;W;11/04/11;000000;583,1;119520
СОЛЛЕРС;W;18/04/11;000000;595;193510
СОЛЛЕРС;W;25/04/11;000000;556;166960
СОЛЛЕРС;W;02/05/11;000000;505,2;173560
СОЛЛЕРС;W;09/05/11;000000;510,6;137990
СОЛЛЕРС;W;16/05/11;000000;516;167770
СОЛЛЕРС;W;23/05/11;000000;548,8;152140
СОЛЛЕРС;W;30/05/11;000000;532,5;114820
СОЛЛЕРС;W;06/06/11;000000;523,2;94370
СОЛЛЕРС;W;13/06/11;000000;520,4;33870
СОЛЛЕРС;W;20/06/11;000000;525,8;54620
СОЛЛЕРС;W;27/06/11;000000;519,5;73780
СОЛЛЕРС;W;04/07/11;000000;530;69760
СОЛЛЕРС;W;11/07/11;000000;518;73960
СОЛЛЕРС;W;18/07/11;000000;508,9;89030
СОЛЛЕРС;W;25/07/11;000000;496,6;68390
СОЛЛЕРС;W;01/08/11;000000;416,5;303180
СОЛЛЕРС;W;08/08/11;000000;386,1;504160
СОЛЛЕРС;W;15/08/11;000000;351;239980
СОЛЛЕРС;W;22/08/11;000000;363,7;65070
СОЛЛЕРС;W;29/08/11;000000;369,1;251870
СОЛЛЕРС;W;05/09/11;000000;368,1;95320
СОЛЛЕРС;W;12/09/11;000000;383,5;130090
СОЛЛЕРС;W;19/09/11;000000;326,9;133600
СОЛЛЕРС;W;26/09/11;000000;336,5;164160
СОЛЛЕРС;W;03/10/11;000000;321,2;127530
СОЛЛЕРС;W;10/10/11;000000;380,4;106430
СОЛЛЕРС;W;17/10/11;000000;434;135000
СОЛЛЕРС;W;24/10/11;000000;414,3;154140
СОЛЛЕРС;W;31/10/11;000000;388,6;61740
СОЛЛЕРС;W;07/11/11;000000;382;64220
СОЛЛЕРС;W;14/11/11;000000;356;43160
СОЛЛЕРС;W;21/11/11;000000;327,5;76320
СОЛЛЕРС;W;28/11/11;000000;362,6;207580
СОЛЛЕРС;W;05/12/11;000000;326,2;114130
СОЛЛЕРС;W;12/12/11;000000;316,3;91900
СОЛЛЕРС;W;19/12/11;000000;304;53930
СОЛЛЕРС;W;26/12/11;000000;305,9;198490
СОЛЛЕРС;W;02/01/12;000000;308,1;21640
СОЛЛЕРС;W;09/01/12;000000;318,8;98620
СОЛЛЕРС;W;16/01/12;000000;319;106480
СОЛЛЕРС;W;23/01/12;000000;360,1;326110
СОЛЛЕРС;W;30/01/12;000000;363,3;211870
СОЛЛЕРС;W;06/02/12;000000;367,4;226310
СОЛЛЕРС;W;13/02/12;000000;413,4;455360
СОЛЛЕРС;W;20/02/12;000000;422;130630
СОЛЛЕРС;W;27/02/12;000000;418;126830
СОЛЛЕРС;W;05/03/12;000000;410,4;55380
СОЛЛЕРС;W;12/03/12;000000;476;356610
СОЛЛЕРС;W;19/03/12;000000;467;417320
СОЛЛЕРС;W;26/03/12;000000;466,9;83450
СОЛЛЕРС;W;02/04/12;000000;500,5;178000
СОЛЛЕРС;W;09/04/12;000000;518,8;354670
СОЛЛЕРС;W;16/04/12;000000;494;270830
СОЛЛЕРС;W;23/04/12;000000;486,4;307020
СОЛЛЕРС;W;30/04/12;000000;428;94220
СОЛЛЕРС;W;07/05/12;000000;407;55460
СОЛЛЕРС;W;14/05/12;000000;375,9;111750
СОЛЛЕРС;W;21/05/12;000000;374,9;40290
СОЛЛЕРС;W;28/05/12;000000;383,5;69010
СОЛЛЕРС;W;04/06/12;000000;407;55880
СОЛЛЕРС;W;11/06/12;000000;416;29650
СОЛЛЕРС;W;18/06/12;000000;382,5;34670
СОЛЛЕРС;W;25/06/12;000000;394;42880
СОЛЛЕРС;W;02/07/12;000000;412,6;177310
