;accommodates;bathrooms;bedrooms;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;minimum_nights;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed;host_has_profile_pic_f;host_has_profile_pic_t;room_type_Entire home/apt;room_type_Private room;room_type_Shared room;bed_type_Airbed;bed_type_Couch;bed_type_Futon;bed_type_Pull-out Sofa;bed_type_Real Bed;instant_bookable_f;instant_bookable_t;is_business_travel_ready_f;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict_14_with_grace_period;cancellation_policy_super_strict_30;cancellation_policy_super_strict_60
60161;10;1.5;2.0;50.0;200.0;25.0;2;21.80729018117522;120.97182964515429;2;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
63052;2;1.0;1.0;25.0;400.0;10.0;1;4.289876394918334;14.0;6;True;False;False;True;False;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
64245;6;1.0;3.0;15.0;150.0;18.0;1;4.863771323763055;67.13766044580433;3;False;False;False;False;False;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0
64590;4;1.0;2.0;30.0;200.0;25.0;2;1.5983301938592918;72.0;2;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0
68142;2;1.0;1.0;15.0;85.0;15.0;1;4.165852648642326;45.03277389212612;2;False;True;False;True;True;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0
68448;4;1.0;0.0;0.0;200.0;10.0;2;5.288944319964231;66.01061010406737;3;True;False;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
72079;2;1.0;1.0;60.0;200.0;20.0;2;5.811090276253676;46.0;3;True;True;False;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0
73302;2;1.0;1.0;40.0;0.0;10.0;2;3.6497652401293394;70.05003539456057;3;True;True;True;False;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
74614;6;1.0;3.0;45.0;0.0;25.0;4;3.893871191960276;101.0;4;False;True;True;False;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
80843;2;1.0;1.0;30.0;250.0;10.0;1;8.105677261168646;56.2249653952517;2;True;True;False;True;False;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0
81049;5;1.0;2.0;60.0;300.0;25.0;2;2.3078900600189605;108.0;4;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0
81081;2;1.0;1.0;30.0;200.0;0.0;1;5.269292054071226;10.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
82893;2;1.0;1.0;30.0;0.0;0.0;1;3.5551443290801688;40.0;3;True;True;True;True;False;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0
