;accommodates;bathrooms;bedrooms;price;cleaning_fee;security_deposit;extra_people;guests_included;distance;size;host_has_profile_pic;room_type;bed_type;minimum_nights;instant_bookable;is_business_travel_ready;cancellation_policy;Laptop_friendly_workspace;TV;Family_kid_friendly;Host_greets_you;Smoking_allowed
81049;5;1.0;2.0;155.0;60.0;300.0;25.0;2;2.3078900600189605;108.0;t;Entire home/apt;Real Bed;4;f;f;strict_14_with_grace_period;True;True;True;True;False
81081;2;1.0;1.0;66.0;30.0;200.0;0.0;1;5.269292054071226;10.0;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;True;False
82893;2;1.0;1.0;70.0;30.0;0.0;0.0;1;3.5551443290801688;40.0;t;Entire home/apt;Real Bed;3;f;f;flexible;True;True;True;True;False
83183;2;1.0;1.0;53.0;20.0;0.0;20.0;1;4.021975159750783;55.730748789081275;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;True;False
83568;3;2.0;1.0;70.0;30.0;0.0;20.0;2;4.783228573349251;85.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;False;True;False;False;False
83614;5;1.5;2.0;92.0;36.0;190.0;19.0;1;4.9185509610471865;90.0;t;Entire home/apt;Real Bed;1;t;f;moderate;True;True;True;False;False
85560;2;1.0;1.0;75.0;30.0;0.0;0.0;1;3.551695678312607;15.0;t;Entire home/apt;Real Bed;3;t;f;moderate;True;True;True;True;False
86514;2;1.0;1.0;80.0;40.0;150.0;10.0;1;2.5961916834220187;70.66789891828407;t;Private room;Real Bed;2;f;f;strict_14_with_grace_period;False;False;False;False;False
87549;2;1.0;1.0;48.0;25.0;0.0;10.0;1;2.1723865372792845;18.0;t;Private room;Real Bed;2;t;f;strict_14_with_grace_period;True;True;False;False;False
89102;4;1.0;1.0;114.0;40.0;0.0;15.0;2;4.215948998818062;74.0715915352121;t;Entire home/apt;Real Bed;10;f;f;strict_14_with_grace_period;True;False;True;False;False
91290;3;1.0;1.0;60.0;20.0;0.0;0.0;1;2.05662034079342;10.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;False;False;True;False;False
106290;3;1.0;1.0;50.0;45.0;125.0;30.0;2;1.966126755512696;72.89349020324008;t;Entire home/apt;Real Bed;1;f;f;strict_14_with_grace_period;True;True;True;True;False
106331;4;1.0;1.0;82.0;50.0;0.0;5.0;2;4.082946713498696;55.0;t;Entire home/apt;Real Bed;60;f;f;moderate;True;False;True;True;False
107968;2;1.0;1.0;80.0;35.0;300.0;25.0;1;4.171020253194026;70.89900096592855;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;False;False;False
109658;2;1.0;1.0;60.0;25.0;0.0;0.0;2;4.026832686482081;59.56233713930428;t;Entire home/apt;Real Bed;3;f;f;moderate;True;False;False;False;False
111579;2;1.0;1.0;70.0;30.0;0.0;15.0;1;2.7398799222037358;40.0;t;Entire home/apt;Real Bed;4;f;f;flexible;False;True;False;False;False
114763;6;1.0;3.0;130.0;50.0;0.0;0.0;1;3.8161976594346374;150.0;t;Entire home/apt;Real Bed;3;f;f;strict_14_with_grace_period;True;True;True;False;False
115576;4;1.0;2.0;69.0;45.0;0.0;15.0;2;8.764210301198911;75.71649450162055;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;False;False
116832;2;1.0;2.0;75.0;20.0;250.0;0.0;1;1.4222145549891996;66.15689891675878;t;Entire home/apt;Real Bed;14;f;f;strict_14_with_grace_period;False;False;False;False;False
117649;4;1.0;1.0;68.0;25.0;0.0;20.0;2;2.622514277477249;36.0;t;Entire home/apt;Real Bed;60;t;f;moderate;True;True;True;True;False
121888;4;1.0;1.0;125.0;40.0;0.0;10.0;2;4.396140721009552;21.0;t;Entire home/apt;Real Bed;7;f;f;moderate;False;True;False;False;True
125349;4;1.0;1.0;70.0;25.0;0.0;0.0;1;16.67604571748248;30.0;t;Entire home/apt;Real Bed;2;f;f;moderate;True;True;True;False;False
127708;2;1.0;1.0;89.0;40.0;0.0;15.0;2;1.9319629511408583;35.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;False;True;True;False;False
128827;3;1.0;1.0;59.0;30.0;0.0;20.0;2;3.930988243568319;15.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;False;False
135097;6;1.0;3.0;96.0;88.0;0.0;9.0;3;3.8807107529306366;80.0;t;Entire home/apt;Real Bed;1;t;f;strict_14_with_grace_period;True;True;True;True;False
139769;2;1.0;1.0;55.0;0.0;0.0;5.0;1;2.935233131949943;105.0;t;Private room;Real Bed;2;f;f;moderate;False;True;True;True;False
143605;4;1.0;1.0;55.0;40.0;200.0;15.0;2;3.1983998822812225;40.0;t;Entire home/apt;Real Bed;30;f;f;strict_14_with_grace_period;False;True;True;True;False
145249;3;1.0;1.0;70.0;40.0;85.0;10.0;1;4.224488223508943;25.0;t;Private room;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;False;False
147946;2;1.0;1.0;31.0;0.0;250.0;0.0;1;5.098073818777181;44.7785977211334;t;Entire home/apt;Real Bed;183;f;f;strict_14_with_grace_period;True;True;False;False;False
149849;4;1.0;2.0;40.0;20.0;100.0;25.0;2;3.0085204700313435;16.0;t;Private room;Real Bed;2;t;f;strict_14_with_grace_period;True;True;True;True;True
151249;4;1.0;1.0;81.0;80.0;1000.0;20.0;1;1.0842642188704794;70.0;t;Entire home/apt;Real Bed;1;f;f;strict_14_with_grace_period;True;True;True;True;False
153015;2;1.0;1.0;52.0;20.0;0.0;15.0;2;5.024682536711171;30.0;t;Private room;Pull-out Sofa;3;f;f;moderate;True;False;False;False;True
155048;2;1.0;2.0;100.0;80.0;3000.0;100.0;2;4.950487507802074;12.0;t;Entire home/apt;Real Bed;180;f;f;strict_14_with_grace_period;True;True;True;False;False
156010;3;1.0;1.0;36.0;50.0;120.0;12.0;2;1.9748120949564563;60.0;t;Entire home/apt;Real Bed;90;t;f;flexible;True;True;True;False;False
157546;4;1.0;2.0;88.0;40.0;0.0;40.0;4;1.5991777703475067;85.0;t;Entire home/apt;Real Bed;5;f;f;strict_14_with_grace_period;True;False;True;True;False
157839;4;1.0;1.0;29.0;20.0;100.0;15.0;1;5.224934112057024;40.0;t;Private room;Real Bed;1;f;f;moderate;True;False;False;False;False
158890;2;1.0;1.0;100.0;40.0;1000.0;0.0;6;2.2303181463414083;50.0;t;Entire home/apt;Real Bed;10;f;f;moderate;False;True;False;False;False
159454;6;1.0;2.0;161.0;0.0;1000.0;0.0;1;6.844575089919804;76.67287490123657;t;Entire home/apt;Real Bed;2;f;f;flexible;True;True;True;False;False
160517;6;2.0;2.0;65.0;65.0;500.0;8.0;2;12.502141946026635;45.0;t;Entire home/apt;Pull-out Sofa;2;t;f;strict_14_with_grace_period;True;True;False;False;False
161425;5;1.0;2.0;70.0;60.0;200.0;25.0;2;4.819800690258004;92.75685772403462;t;Entire home/apt;Real Bed;2;t;f;moderate;True;False;True;True;False
163287;2;1.0;1.0;29.0;20.0;500.0;15.0;1;1.307773272374654;49.44651608046018;t;Entire home/apt;Real Bed;150;f;f;strict_14_with_grace_period;False;False;False;False;False
163411;4;1.0;2.0;80.0;40.0;200.0;15.0;2;2.2613315544766;85.0;t;Entire home/apt;Real Bed;5;f;f;moderate;True;False;True;True;False
167189;2;1.0;1.0;49.0;15.0;0.0;0.0;2;2.2932242186324845;10.0;t;Private room;Real Bed;3;t;f;flexible;True;False;False;False;False
168615;3;1.0;1.0;49.0;20.0;0.0;10.0;1;9.086212705271445;50.0;t;Entire home/apt;Real Bed;2;f;f;moderate;False;True;True;True;False
169603;4;1.0;1.0;59.0;49.0;90.0;20.0;2;5.434293039410478;84.0;t;Entire home/apt;Real Bed;1;t;f;strict_14_with_grace_period;True;True;False;False;False
169907;2;1.5;1.0;30.0;15.0;150.0;0.0;1;6.1973195946750606;47.275645775341054;t;Private room;Real Bed;1;t;f;moderate;True;False;False;False;False
170582;1;1.0;1.0;23.0;0.0;500.0;10.0;1;7.2740242074028165;20.0;t;Private room;Pull-out Sofa;5;f;f;moderate;True;False;False;True;True
170652;2;1.0;1.0;40.0;50.0;150.0;20.0;1;4.750948188107759;59.835209134548286;t;Private room;Pull-out Sofa;5;f;f;strict_14_with_grace_period;True;True;False;True;False
170974;3;1.0;1.0;35.0;30.0;0.0;18.0;2;3.142112117766147;65.0;t;Private room;Real Bed;7;f;f;strict_14_with_grace_period;False;False;False;True;False
171746;2;1.0;1.0;70.0;50.0;0.0;30.0;2;4.644353201266347;15.0;t;Entire home/apt;Real Bed;4;t;f;moderate;True;True;True;False;False
173153;5;2.0;2.0;80.0;50.0;300.0;20.0;1;3.093982478647271;95.0;t;Entire home/apt;Real Bed;2;f;f;moderate;True;True;True;True;False
174391;2;1.0;1.0;42.0;10.0;0.0;0.0;1;2.941858822992715;10.0;t;Private room;Real Bed;1;f;f;flexible;False;False;True;False;True
174547;3;1.0;2.0;96.0;100.0;500.0;30.0;2;1.2133990473476475;40.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;False;False
174560;3;1.0;2.0;75.0;30.0;0.0;15.0;2;1.2830251845455538;56.0;t;Entire home/apt;Real Bed;60;f;f;moderate;True;True;True;False;False
174576;5;1.0;2.0;96.0;100.0;500.0;30.0;2;1.0993590551198096;40.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;True;False;False
174579;3;1.0;2.0;76.0;30.0;0.0;15.0;2;1.0402344536323291;73.4129720925303;t;Entire home/apt;Real Bed;60;f;f;moderate;True;True;True;False;False
175667;2;1.0;1.0;46.0;35.0;200.0;10.0;1;4.31002545753539;15.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;False;True;True;True;False
176342;6;2.0;3.0;296.0;98.0;500.0;69.0;4;0.8282693521119638;200.0;t;Entire home/apt;Real Bed;1;f;f;strict_14_with_grace_period;False;True;True;False;False
176355;6;2.0;2.0;244.0;98.0;500.0;69.0;4;0.8957645873398261;200.0;t;Entire home/apt;Real Bed;1;f;f;strict_14_with_grace_period;True;True;True;False;False
176396;2;2.0;3.0;20.0;20.0;0.0;10.0;1;8.50453140689691;12.0;t;Private room;Real Bed;1;t;f;flexible;True;False;False;True;False
176852;2;1.0;1.0;50.0;30.0;350.0;5.0;2;2.713187651495918;61.41475516614575;t;Entire home/apt;Real Bed;3;f;f;moderate;False;True;True;False;False
177486;3;1.0;1.0;59.0;30.0;250.0;19.0;2;5.849095633442975;48.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;False;True;False;False;False
178347;3;1.0;1.0;75.0;40.0;300.0;25.0;1;2.2984001729210233;53.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;False;True;True;False
180440;1;1.0;1.0;39.0;30.0;100.0;0.0;1;6.945325008247183;30.0;t;Entire home/apt;Real Bed;60;f;f;strict_14_with_grace_period;True;True;False;True;False
181160;1;1.0;1.0;39.0;0.0;0.0;0.0;1;1.6758779594736386;48.64721703624321;t;Private room;Real Bed;2;f;f;moderate;False;False;False;False;False
183206;2;1.0;1.0;64.0;25.0;100.0;10.0;1;2.899346570059534;35.0;t;Entire home/apt;Real Bed;1;t;f;strict_14_with_grace_period;False;True;False;False;False
183918;3;1.0;1.0;35.0;15.0;100.0;5.0;1;6.127531748343691;45.839224102676425;t;Private room;Real Bed;15;f;f;moderate;False;False;False;False;False
183988;5;1.0;1.0;100.0;50.0;200.0;15.0;3;6.871036650435578;89.6509763970167;t;Entire home/apt;Real Bed;2;t;f;flexible;True;True;True;True;False
183996;6;2.5;4.0;375.0;100.0;1000.0;50.0;6;4.64523745401974;190.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;False;False
185960;1;1.5;1.0;29.0;20.0;0.0;0.0;1;3.017671429118598;150.0;t;Private room;Real Bed;7;f;f;moderate;False;True;False;False;False
186851;2;1.0;1.0;32.0;0.0;960.0;0.0;2;3.912362216896111;53.51284175557147;t;Entire home/apt;Real Bed;62;f;f;strict_14_with_grace_period;True;True;False;True;False
186908;4;1.0;1.0;45.0;30.0;100.0;25.0;1;21.561472813627347;63.0;t;Entire home/apt;Real Bed;2;f;f;strict_14_with_grace_period;True;True;True;False;False
186999;10;1.5;2.0;120.0;50.0;200.0;25.0;2;21.68611021071164;120.97182964515429;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;True;True;True;False;False
187206;1;1.0;1.0;25.0;0.0;0.0;0.0;1;6.822703895469538;41.58932227916058;t;Private room;Real Bed;2;t;f;strict_14_with_grace_period;True;False;False;True;False
187326;2;1.0;1.0;59.0;35.0;300.0;15.0;1;9.895131448993085;59.492248739566776;t;Entire home/apt;Real Bed;3;t;f;strict_14_with_grace_period;False;True;True;True;False
188565;5;1.0;1.0;86.0;50.0;1800.0;20.0;1;12.47420124324439;85.20035572356396;t;Entire home/apt;Real Bed;1;t;f;flexible;False;False;True;False;False
188922;3;1.0;1.0;45.0;40.0;200.0;5.0;1;3.1632355266355194;67.0;t;Entire home/apt;Real Bed;28;f;f;strict_14_with_grace_period;False;False;True;False;False
